Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label
192.168.21.128-192.168.21.70-43466-80-6,192.168.21.128,43466,192.168.21.70,80,6,2023-05-10 04:46:23.219750,119985516,64,63,5598.0,1126.0,287.0,0.0,87.46875,111.1910937323526,112.0,0.0,17.873015873015877,30.59279488412794,56.04009737308626,1.0584610895868465,952265.9999999998,3213173.554210928,19268497.0,787.0,119985516.0,1904532.0,4358040.163601613,19268497.0,9091.0,119982693.0,1935204.725806452,4391628.585910913,19278686.0,5350.0,33,33,0,0,0,0,2048,2016,0.5333977144374659,0.5250633751493805,0.0,287.0,52.94488188976376,88.67179604628093,7862.687414073242,0,0,0,66,127,0,4,0,0.984375,52.94488188976378,87.46875,17.873015873015873,0.0,0.0,0.0,0.0,0.0,0.0,4.923076923076923,430.61538461538464,4.846153846153846,86.61538461538461,237,501,33,33,32,0,1487248.1,1414172.828805545,4114607.0,12256.0,10510279.7,5511969.9403244825,19268497.0,5511935.0,-1,-1,0,0,0,750205605,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-42230-80-6,192.168.21.225,42230,192.168.21.70,80,6,2024-06-22 18:49:39.839475,14954,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,37715.661361508624,668.7174000267487,1661.5555555555557,2987.29970504765,7751.0,23.0,14954.0,2990.8,3594.704049014328,7751.0,121.0,14846.0,4948.666666666667,3602.85447018518,7876.0,925.0,1,1,0,0,0,0,200,136,401.2304400160492,267.4869600106995,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,14954,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-50540-80-6,192.168.21.128,50540,192.168.21.70,80,6,2023-04-28 15:40:07.914876,119998924,21,20,378.0,2420.0,70.0,0.0,18.0,27.64778472138409,574.0,0.0,121.0,233.03805878462268,23.316875741319148,0.3416697303052484,2999973.100000001,6219131.442555257,22601170.0,1099.0,119996992.0,5999849.600000001,7787057.924194155,22645022.0,9295.0,119989045.0,6315212.894736841,7858894.944181734,22603102.0,5196.0,11,10,0,0,0,0,672,640,0.1750015691807369,0.1666681611245114,0.0,574.0,68.2439024390244,169.98481998222738,28894.839024390247,0,0,0,21,41,0,4,0,0.9523809523809524,68.2439024390244,18.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,37.8,2.0,242.0,605,503,11,10,32,0,1603198.714285714,2866651.9813925624,7399102.0,9295.0,15539228.714285716,4828774.399567925,22601170.0,9378062.0,-1,-1,0,0,0,1229996457,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-38812-80-6,192.168.21.128,38812,192.168.21.70,80,6,2023-04-27 11:57:32.748780,111907559,19,20,338.0,2420.0,70.0,0.0,17.789473684210527,28.758726110267474,574.0,0.0,121.0,233.03805878462268,24.64534142863397,0.3485019273809734,2944935.7631578944,5827277.566455152,21519265.0,673.0,111906027.0,6217001.5,7242331.348973951,21522341.0,9167.0,111905677.0,5889772.473684211,7188111.261255996,21569993.0,673.0,9,10,0,0,0,0,608,640,0.1697829902625255,0.1787189371184479,0.0,574.0,70.71794871794874,174.0015046392822,30276.52361673414,0,0,0,19,39,0,4,0,1.0526315789473684,70.71794871794872,17.789473684210527,121.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111111111111111,37.55555555555556,2.2222222222222223,268.8888888888889,0,501,9,10,0,32,44245.55555555556,32683.54298844876,110412.0,1532.0,12388909.11111111,5057085.47280097,21519265.0,5712107.0,-1,-1,0,0,0,3060190780,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-36192-80-6,192.168.21.128,36192,192.168.21.70,80,6,2023-05-10 11:44:53.155301,119998845,65,63,5632.0,1154.0,288.0,0.0,86.64615384615387,111.19077507391728,112.0,0.0,18.31746031746032,30.69245225953842,56.55054429898888,1.0666769334321509,944872.7952755906,3506711.465802344,20405578.0,839.0,119998845.0,1874981.953125,4779467.121553989,20405578.0,1340.0,102298410.0,1649974.354838709,4418688.068325191,20529678.0,1274.0,34,33,0,0,0,0,2080,2016,0.5416718802585141,0.5250050531736368,0.0,288.0,53.01562500000001,88.69251354348582,7866.361958661416,0,0,0,67,128,0,4,0,0.9692307692307692,53.015625,86.64615384615385,18.31746031746032,0.0,0.0,0.0,0.0,0.0,0.0,5.909090909090909,512.0,5.727272727272728,104.9090909090909,237,4002,34,33,32,0,2169906.75,1018674.6789608196,4095631.0,578347.0,12829948.875,6707982.86929737,20405578.0,6296770.0,-1,-1,0,0,0,7320264122,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-60938-80-6,192.168.21.128,60938,192.168.21.70,80,6,2023-04-27 16:47:02.666923,69648107,14,26,953.0,6554.0,235.0,0.0,68.07142857142856,79.41368249258414,574.0,0.0,252.07692307692307,282.8296905315173,107.78469542610829,0.5743156809703386,1785848.8974358975,5829344.5126323365,26968300.0,150.0,30051018.0,2311616.769230769,7516030.081691721,27244716.0,3934.0,69646853.0,2785874.12,7142964.540048104,27018611.0,5922.0,8,17,0,0,0,0,456,840,0.2010104883396185,0.37330519263072,0.0,574.0,187.675,247.5473938046757,61279.71217948718,0,2,0,25,39,0,10,0,1.8571428571428568,187.675,68.07142857142857,252.07692307692307,0.0,0.0,0.0,2870.0,5.0,1567.9041819337012,2.333333333333333,158.83333333333334,4.333333333333333,1092.3333333333333,29200,65160,8,17,32,0,3525767.333333333,3576688.685022689,7494584.0,551878.0,19690268.33333333,10681823.287961394,26968300.0,7427214.0,-1,-1,0,8,8,69648107,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-50768-80-6,192.168.21.128,50768,192.168.21.70,80,6,2023-04-28 16:38:21.139926,44354864,4,6,0.0,5166.0,0.0,0.0,0.0,0.0,2296.0,574.0,861.0,703.0035561787721,116.46975177288336,0.2254544169045361,4928318.222222222,9326586.893504126,27191858.0,1360.0,13091040.0,4363680.0,7380326.432049533,12884997.0,5115.0,44354864.0,8870972.8,11471281.174311183,27193293.0,411509.0,0,6,0,0,0,0,128,192,0.0901817667618144,0.1352726501427216,0.0,2296.0,516.6,687.2037058495343,472248.93333333335,0,0,0,6,10,0,5,0,1.5,516.6,0.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.0,1722.0,0,508,0,6,0,32,308813.5,434698.8434818984,616192.0,1435.0,20037710.0,10117493.128824351,27191858.0,12883562.0,-1,-1,0,2,2,188358422,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.128-0-0-1,192.168.21.225,0,192.168.21.128,0,1,2023-04-27 00:40:59.865393,104214627,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247425661274976,8684552.25,7072874.137702541,21053044.0,58044.0,104214627.0,8684552.25,7072874.137702541,21053044.0,58044.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.1247425661274976,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181818181818182,0.0,0.0,0.0,0,0,0,0,0,0,3842347.3333333335,1129680.4167379965,4585708.0,2542368.0,13241083.57142857,5644443.930207618,21053044.0,5057661.0,1,5,0,0,0,0,normal
192.168.21.128-192.168.21.70-37712-80-6,192.168.21.128,37712,192.168.21.70,80,6,2023-05-09 15:37:11.657971,104211523,61,64,5616.0,1148.0,288.0,0.0,92.06557377049182,112.69958131428574,112.0,0.0,17.937499999999996,30.580559754861174,64.90644993260486,1.1994834774653471,840415.508064516,3087308.928432236,19786191.0,722.0,104209419.0,1736823.6500000004,4278132.266531517,19787142.0,6714.0,104210598.0,1654136.4761904764,4191546.7316883313,19787136.0,2811.0,32,32,0,0,0,0,1952,2048,0.5853479370030894,0.6141355404622577,0.0,288.0,54.112,89.47005409993427,8004.890580645165,0,0,0,64,125,0,4,0,1.0491803278688523,54.112,92.0655737704918,17.9375,0.0,0.0,0.0,0.0,0.0,0.0,4.066666666666666,374.4,4.266666666666667,76.53333333333333,0,4496,32,32,0,32,1811304.625,2644569.6136762938,6465336.0,6714.0,10766881.125,6484139.534557082,19786191.0,5335283.0,-1,-1,0,0,0,10439725312,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-37290-80-6,192.168.21.128,37290,192.168.21.70,80,6,2023-05-10 03:04:11.053464,102610911,63,58,5616.0,1148.0,288.0,0.0,89.14285714285712,112.05454563808058,112.0,0.0,19.793103448275865,31.56322455937609,65.91891577690018,1.179211828652413,855090.9250000002,3559183.1234606374,23405100.0,831.0,102609317.0,1654988.9838709682,4836372.234169585,23406873.0,11311.0,102608755.0,1800153.596491228,5029737.899608597,23452083.0,4557.0,32,32,0,0,0,0,2016,1856,0.6139697950834877,0.5652420335689252,0.0,288.0,55.90082644628097,90.39297584793093,8170.890082644625,0,0,0,64,121,0,4,0,0.9206349206349206,55.900826446281,89.14285714285714,19.79310344827586,0.0,0.0,0.0,0.0,0.0,0.0,6.3,561.6,5.8,114.8,0,4077,32,32,0,32,2669613.1666666665,2721013.532636133,7993605.0,384597.0,14108001.666666668,8569753.48348172,23405100.0,6038902.0,-1,-1,0,0,0,9191130171,cyberattack_ocpp16_doc_idtag
