flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
192.168.21.128-192.168.21.70-33924-80,192.168.21.128,192.168.21.70,33924,80,124,61,63,109681274.0,1.0327868852459017,0,0,65,124,0,0,0,0,1683653155431727.0,1683653265113001.0,0,0,0,0,5.926262308003461e-07,2.9175445208632426e-07,3.0087177871402184e-07,6.12502002848e-05,5.09476211955e-05,1.03025790892e-05,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-43060-80,192.168.21.225,192.168.21.70,43060,80,11,6,5,10878.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082325277337.0,1719082325288215.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-54402-80,192.168.21.225,192.168.21.70,54402,80,11,6,5,17714.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082076426609.0,1719082076444323.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-55498-80,192.168.21.128,192.168.21.70,55498,80,115,52,63,97371003.0,1.2115384615384617,0,0,63,115,0,0,0,0,1683777435464069.0,1683777532835072.0,0,0,0,0,6.47009870073948e-07,3.183699360681332e-07,3.286399340058149e-07,6.90657361309e-05,5.69574085623e-05,1.21083275685e-05,4,4,0,55,0,0,0,0,5,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-57601-80,192.168.21.225,192.168.21.70,57601,80,11,6,5,12521.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082203740820.0,1719082203753341.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-41354-80,192.168.21.225,192.168.21.70,41354,80,1741,946,795,119771700.0,0.8403805496828752,0,0,965,1741,0,0,0,0,1719308763176275.0,1719308882947975.0,0,0,0,0,8.0569950998e-06,3.9909260701e-06,4.0660690296e-06,0.0006162975060051,0.000263401120632,0.0003528963853731,1,0,0,964,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-45360-80,192.168.21.225,192.168.21.70,45360,80,11,6,5,9853.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083056517456.0,1719083056527309.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.70-192.168.21.128-80-48966,192.168.21.70,192.168.21.128,80,48966,40,19,21,93825137.0,1.105263157894737,0,0,21,40,0,0,0,0,1682693872871002.0,1682693966696139.0,0,0,0,0,2.2382061643032825e-07,1.0658124591920393e-07,1.1723937051112432e-07,3.59178798747e-05,2.58139777616e-05,1.01039021131e-05,4,4,0,13,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.128-80-37712,192.168.21.70,192.168.21.128,80,37712,123,60,63,104297494.0,1.05,0,0,65,123,0,0,0,0,1683642671684584.0,1683642775982078.0,0,0,0,0,6.232172749999153e-07,3.068146584614968e-07,3.164026165384185e-07,6.59267997369e-05,1.10069758723e-05,5.49198238646e-05,4,4,0,57,0,0,0,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41086-80,192.168.21.225,192.168.21.70,41086,80,1730,956,774,119816465.0,0.8096234309623431,0,0,957,1730,0,0,0,0,1719309842905036.0,1719309962721501.0,0,0,0,0,7.9872161142e-06,3.9894350079e-06,3.9977811062e-06,0.0006109343987072,0.0002633027105248,0.0003476316881824,0,0,0,957,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,15,9,6,60328640.0,0.6666666666666666,0,0,10,15,0,0,0,0,1719315352175043.0,1719315412503683.0,0,0,0,0,8.287937536798443e-08,3.315175014719377e-08,4.9727625220790655e-08,3.6466925161913146e-07,1.9891050088316265e-07,1.6575875073596886e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
